Section_Class,ID,Description,Heads_of_Families,Wives,Children_under_15,Young_Persons_15_to_20,Unmarried_Men_and_Widowers,Total_Persons,A,B,C,D,E,F,G,H,Total_Classes,District,poverty_rate,kids_per_household,unmarried_ratio
Artisans,10-D,Silk weaving,7.0,7.0,15.0,4.0,3.0,36.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,36.0,Hackney,0.5,2.142857142857143,0.08333333333333333
Artisans,10-E,Sundry artisans,632.0,632.0,1293.0,302.0,274.0,3133.0,17.0,265.0,257.0,621.0,1600.0,373.0,0.0,0.0,3133.0,Hackney,0.37025215448451965,2.045886075949367,0.08745611235237791
Artisans,11,Dress,1696.0,1696.0,3507.0,826.0,736.0,8461.0,0.0,1280.0,1457.0,1120.0,3904.0,700.0,0.0,0.0,8461.0,Hackney,0.45585628176338494,2.067806603773585,0.0869873537406926
Artisans,12,Food preparation,358.0,358.0,741.0,173.0,156.0,1786.0,8.0,134.0,94.0,242.0,1141.0,167.0,0.0,0.0,1786.0,Hackney,0.26763717805151177,2.069832402234637,0.08734602463605823
Locomotion,13,Railway servants,382.0,382.0,787.0,185.0,165.0,1901.0,8.0,25.0,0.0,208.0,1078.0,582.0,0.0,0.0,1901.0,Hackney,0.126775381378222,2.06020942408377,0.08679642293529721
Locomotion,14,Road service,592.0,592.0,1304.0,306.0,257.0,3051.0,0.0,292.0,250.0,457.0,1682.0,370.0,0.0,0.0,3051.0,Hackney,0.3274336283185841,2.2027027027027026,0.08423467715503113
Assistants,15,Shops and refreshment houses,1015.0,1015.0,2113.0,496.0,440.0,5079.0,0.0,268.0,126.0,756.0,3175.0,754.0,0.0,0.0,5079.0,Hackney,0.22642252411892105,2.081773399014778,0.08663122661941328
Other wages,16,"Police, soldiers, and sub-officials",452.0,452.0,941.0,221.0,196.0,2262.0,0.0,8.0,50.0,34.0,1750.0,420.0,0.0,0.0,2262.0,Hackney,0.040671971706454466,2.081858407079646,0.08664898320070734
Other wages,17,Seamen,52.0,52.0,78.0,18.0,22.0,222.0,0.0,14.0,0.0,14.0,172.0,22.0,0.0,0.0,222.0,Hackney,0.12612612612612611,1.5,0.0990990990990991
Other wages,18,Other wage earners,774.0,774.0,1311.0,306.0,335.0,3500.0,8.0,121.0,129.0,363.0,2046.0,833.0,0.0,0.0,3500.0,Hackney,0.17742857142857144,1.693798449612403,0.09571428571428571
Manufacture,19,Home industries (not employing),850.0,850.0,1796.0,421.0,368.0,4285.0,8.0,515.0,480.0,396.0,1467.0,1360.0,59.0,0.0,4285.0,Hackney,0.326487747957993,2.112941176470588,0.08588098016336056
Manufacture,20,Small employers,828.0,828.0,1888.0,443.0,358.0,4345.0,0.0,9.0,9.0,9.0,176.0,2476.0,1605.0,61.0,4345.0,Hackney,0.006214039125431531,2.2801932367149758,0.08239355581127733
Manufacture,21,Large employers,62.0,62.0,154.0,36.0,27.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,156.0,341.0,Hackney,0.0,2.4838709677419355,0.07917888563049853
Dealers,22,"Street sellers, &c.",357.0,357.0,806.0,189.0,155.0,1864.0,44.0,507.0,544.0,157.0,507.0,105.0,0.0,0.0,1864.0,Hackney,0.6716738197424893,2.257703081232493,0.08315450643776824
Dealers,23,General dealers,172.0,172.0,379.0,89.0,75.0,887.0,17.0,69.0,69.0,52.0,250.0,353.0,77.0,0.0,887.0,Hackney,0.23337091319052988,2.203488372093023,0.08455467869222097
Dealers,24,Small shops,693.0,693.0,1364.0,319.0,300.0,3369.0,0.0,73.0,73.0,309.0,1277.0,1515.0,122.0,0.0,3369.0,Hackney,0.1350549124369249,1.9682539682539681,0.08904719501335707
Dealers,25,Large (with assistants),455.0,455.0,1070.0,251.0,197.0,2428.0,0.0,0.0,0.0,0.0,9.0,797.0,1515.0,107.0,2428.0,Hackney,0.0,2.3516483516483517,0.08113673805601318
Refreshments,26,Coffee and boarding houses,53.0,53.0,113.0,26.0,23.0,268.0,0.0,0.0,0.0,25.0,84.0,134.0,25.0,0.0,268.0,Hackney,0.09328358208955224,2.1320754716981134,0.08582089552238806
Refreshments,27,Licensed houses,96.0,96.0,185.0,44.0,41.0,462.0,0.0,0.0,16.0,0.0,57.0,122.0,194.0,73.0,462.0,Hackney,0.03463203463203463,1.9270833333333333,0.08874458874458875
Salaried &c.,28,Clerks and agents,3269.0,3269.0,6492.0,1521.0,1418.0,15969.0,0.0,295.0,196.0,320.0,2880.0,7500.0,4360.0,418.0,15969.0,Hackney,0.0507858976767487,1.9859284184765984,0.08879704427327947
Salaried &c.,29,Subordinate professional,420.0,420.0,869.0,204.0,182.0,2095.0,0.0,17.0,33.0,8.0,184.0,970.0,850.0,33.0,2095.0,Hackney,0.02768496420047733,2.0690476190476192,0.08687350835322195
Salaried &c.,30,Professional,234.0,234.0,495.0,116.0,102.0,1181.0,0.0,0.0,0.0,0.0,0.0,109.0,372.0,700.0,1181.0,Hackney,0.0,2.1153846153846154,0.0863674851820491
No work,31,Ill and no occupation,83.0,83.0,185.0,44.0,36.0,431.0,0.0,328.0,69.0,17.0,17.0,0.0,0.0,0.0,431.0,Hackney,0.9605568445475638,2.2289156626506026,0.08352668213457076
No work,32,Independent,122.0,122.0,179.0,42.0,52.0,517.0,0.0,0.0,0.0,0.0,170.0,184.0,141.0,22.0,517.0,Hackney,0.0,1.4672131147540983,0.10058027079303675
Females,33,Semi-domestic employment,1010.0,0.0,1629.0,382.0,0.0,3021.0,15.0,1580.0,494.0,494.0,403.0,85.0,0.0,0.0,3021.0,Hackney,0.8550148957298908,1.612871287128713,0.0
Females,34,Dress,368.0,0.0,572.0,133.0,0.0,1073.0,0.0,291.0,131.0,302.0,315.0,34.0,0.0,0.0,1073.0,Hackney,0.6747437092264679,1.5543478260869565,0.0
Females,35,Small trades,175.0,0.0,308.0,72.0,0.0,555.0,0.0,174.0,37.0,153.0,169.0,37.0,5.0,0.0,555.0,Hackney,0.6558558558558558,1.76,0.0
